data_name,rs,train_rmse,test_rmse,memory_usage,time_usage,algo
100_data,73,1.1550995049745423,1.023455479149302,3.36328125,18.7124764919281,sgd
100_data,57,1.1541918947677907,1.1658744212859171,0.25,28.765645742416382,sgd
100_data,89,1.1539141563487283,1.1664577264009883,1.32421875,22.217032194137573,sgd
100_data,26,1.1532799168647294,1.1539416723724836,3.4296875,22.992637395858765,sgd
100_data,91,1.1559644265316973,1.0258971751596988,0.0,24.900432348251343,sgd
100_data,34,1.1541175104137482,1.15449968765941,0.28125,18.472095489501953,sgd
100_data,10,1.1531081859449939,1.1645525708079099,3.3671875,19.403777360916138,sgd
100_data,64,1.1559697227509418,1.0245797974189261,0.0,18.678582906723022,sgd
100_data,7,1.1541147778060294,1.1547454146830367,0.7890625,21.765655755996704,sgd
100_data,51,1.155149872308625,1.0189601300067306,3.37109375,21.736260890960693,sgd
100_data,95,1.1560083434574406,1.0215178599873553,2.484375,17.313393115997314,sgd
100_data,13,1.1557698114001858,1.0256262809410386,0.0,17.318509578704834,sgd
100_data,42,1.1551415828588687,1.0191636080332387,3.36328125,21.245352029800415,sgd
100_data,70,1.1559644265316973,1.0258971751596988,2.1875,23.55229949951172,sgd
100_data,18,1.1558226698676806,1.0198221570248032,0.0,19.923238277435303,sgd
100_data,83,1.1551615745085273,1.0175713079013489,3.36328125,19.382975101470947,sgd
100_data,29,1.1542008321100783,1.164958819346991,0.0,17.408472537994385,sgd
100_data,38,1.1539193131958285,1.1662683798469653,1.6015625,20.380797386169434,sgd
100_data,76,1.153113057023728,1.1642628870099596,3.3671875,20.080579042434692,sgd
100_data,3,1.1559696818813976,1.0245765974631822,0.0,18.040298461914062,sgd
100_data,68,1.1539193212351677,1.166268532541496,0.0,19.078405380249023,sgd
100_data,24,1.1551615745085273,1.0175713079013489,3.36328125,21.146291255950928,sgd
100_data,49,1.15601700140507,1.020197153271395,0.0,21.721656322479248,sgd
100_data,81,1.1541147553544104,1.1547444754641873,1.7734375,19.41550064086914,sgd
100_data,16,1.1532688697005073,1.1551251933726756,3.4140625,22.302923679351807,sgd
100_data,61,1.1541831798609261,1.1660600149102613,0.0,20.135645389556885,sgd
100_data,5,1.1539193212351677,1.166268532541496,1.83984375,20.25673222541809,sgd
100_data,28,1.153102160699968,1.1654245910749275,3.3828125,22.880000352859497,sgd
100_data,87,1.1560083434574406,1.0215178599873553,0.0,20.073511838912964,sgd
100_data,33,1.1559547705453965,1.0134824369089057,1.71875,20.528303146362305,sgd
1000_data,73,1.1194990232326352,1.0833937323114298,7.890625,241.81554579734802,sgd
1000_data,57,1.119480458451883,1.1032222983565596,5.15234375,216.48915266990662,sgd
1000_data,89,1.117639283389074,1.1094154278343864,1.28515625,230.8635630607605,sgd
1000_data,26,1.1185890146613398,1.1007894387123411,7.90234375,230.0605502128601,sgd
1000_data,91,1.1213812252024995,1.0803276763144172,5.1484375,231.90445375442505,sgd
1000_data,34,1.118413906678627,1.0981238748144886,1.28515625,213.22734451293945,sgd
